item_name,quantity,unit_price,category
Raw Material A,40,800,General
Raw Material B,51,1200,General
Component Pack,78,640,General
Spare Parts Box,48,1920,General
Packaging Material,77,480,General
Tool Set,97,2400,General
Consumables Pack,36,960,General
Cleaning Supplies,35,400,General
Safety Equipment,93,1280,General
Office Supplies,48,560,General
Raw Material A,91,800,General
Raw Material B,99,1200,General
Component Pack,66,640,General
Spare Parts Box,16,1920,General
Packaging Material,64,480,General
Tool Set,46,2400,General
Consumables Pack,50,960,General
Cleaning Supplies,91,400,General
Safety Equipment,48,1280,General
Office Supplies,86,560,General
Raw Material A,65,800,General
Raw Material B,87,1200,General
Component Pack,77,640,General
Spare Parts Box,23,1920,General
Packaging Material,81,480,General
Tool Set,52,2400,General
Consumables Pack,66,960,General
Cleaning Supplies,95,400,General
Safety Equipment,99,1280,General
Office Supplies,16,560,General
Raw Material A,82,800,General
Raw Material B,61,1200,General
Component Pack,64,640,General
Spare Parts Box,18,1920,General
Packaging Material,15,480,General
Tool Set,83,2400,General
Consumables Pack,87,960,General
Cleaning Supplies,82,400,General
Safety Equipment,49,1280,General
Office Supplies,39,560,General
Raw Material A,83,800,General
Raw Material B,99,1200,General
Component Pack,12,640,General
Spare Parts Box,86,1920,General
Packaging Material,78,480,General
Tool Set,43,2400,General
Consumables Pack,19,960,General
Cleaning Supplies,26,400,General
Safety Equipment,60,1280,General
Office Supplies,93,560,General
