item_name,quantity,unit_price,category
Paracetamol 500mg Box,64,780,Medicines
Cough Syrup Carton,22,1560,Medicines
Antacid Tablets Box,16,585,Medicines
Vitamin C Box,82,975,Medicines
Bandage Rolls Box,65,520,Medicines
Antiseptic Cream Box,93,715,Medicines
Eye Drops Box,45,1170,Medicines
Multivitamin Bottles,32,2275,Medicines
Diabetes Strips Box,81,2730,Medicines
BP Tablets Box,97,1820,Medicines
Paracetamol 500mg Box,42,780,Medicines
Cough Syrup Carton,63,1560,Medicines
Antacid Tablets Box,20,585,Medicines
Vitamin C Box,81,975,Medicines
Bandage Rolls Box,36,520,Medicines
Antiseptic Cream Box,17,715,Medicines
Eye Drops Box,97,1170,Medicines
Multivitamin Bottles,97,2275,Medicines
Diabetes Strips Box,59,2730,Medicines
BP Tablets Box,70,1820,Medicines
Paracetamol 500mg Box,27,780,Medicines
Cough Syrup Carton,48,1560,Medicines
Antacid Tablets Box,96,585,Medicines
Vitamin C Box,23,975,Medicines
Bandage Rolls Box,16,520,Medicines
Antiseptic Cream Box,47,715,Medicines
Eye Drops Box,73,1170,Medicines
Multivitamin Bottles,95,2275,Medicines
Diabetes Strips Box,24,2730,Medicines
BP Tablets Box,99,1820,Medicines
Paracetamol 500mg Box,48,780,Medicines
Cough Syrup Carton,42,1560,Medicines
Antacid Tablets Box,97,585,Medicines
Vitamin C Box,89,975,Medicines
Bandage Rolls Box,28,520,Medicines
Antiseptic Cream Box,12,715,Medicines
Eye Drops Box,46,1170,Medicines
Multivitamin Bottles,99,2275,Medicines
Diabetes Strips Box,17,2730,Medicines
BP Tablets Box,12,1820,Medicines
Paracetamol 500mg Box,49,780,Medicines
Cough Syrup Carton,71,1560,Medicines
Antacid Tablets Box,52,585,Medicines
Vitamin C Box,52,975,Medicines
Bandage Rolls Box,37,520,Medicines
Antiseptic Cream Box,87,715,Medicines
Eye Drops Box,39,1170,Medicines
Multivitamin Bottles,76,2275,Medicines
Diabetes Strips Box,17,2730,Medicines
BP Tablets Box,83,1820,Medicines
