item_name,quantity,unit_price,category
Rice 25kg,20,2000,Groceries
Wheat Flour 25kg,80,1400,Groceries
Sugar 25kg,23,1520,Groceries
Cooking Oil 15L,59,2640,Groceries
Tea Powder 5kg,23,1120,Groceries
Pulses 10kg,43,1280,Groceries
Detergent 5kg,42,960,Groceries
Salt 10kg,27,320,Groceries
Biscuits Carton,55,1440,Groceries
Soap Dozen,47,480,Groceries
Rice 25kg,53,2000,Groceries
Wheat Flour 25kg,97,1400,Groceries
Sugar 25kg,55,1520,Groceries
Cooking Oil 15L,38,2640,Groceries
Tea Powder 5kg,19,1120,Groceries
Pulses 10kg,24,1280,Groceries
Detergent 5kg,11,960,Groceries
Salt 10kg,42,320,Groceries
Biscuits Carton,53,1440,Groceries
Soap Dozen,54,480,Groceries
Rice 25kg,18,2000,Groceries
Wheat Flour 25kg,66,1400,Groceries
Sugar 25kg,37,1520,Groceries
Cooking Oil 15L,17,2640,Groceries
Tea Powder 5kg,55,1120,Groceries
Pulses 10kg,26,1280,Groceries
Detergent 5kg,98,960,Groceries
Salt 10kg,15,320,Groceries
Biscuits Carton,57,1440,Groceries
Soap Dozen,83,480,Groceries
Rice 25kg,26,2000,Groceries
Wheat Flour 25kg,96,1400,Groceries
Sugar 25kg,90,1520,Groceries
Cooking Oil 15L,17,2640,Groceries
Tea Powder 5kg,42,1120,Groceries
Pulses 10kg,98,1280,Groceries
Detergent 5kg,68,960,Groceries
Salt 10kg,90,320,Groceries
Biscuits Carton,26,1440,Groceries
Soap Dozen,11,480,Groceries
Rice 25kg,18,2000,Groceries
Wheat Flour 25kg,81,1400,Groceries
Sugar 25kg,60,1520,Groceries
Cooking Oil 15L,26,2640,Groceries
Tea Powder 5kg,45,1120,Groceries
Pulses 10kg,56,1280,Groceries
Detergent 5kg,68,960,Groceries
Salt 10kg,25,320,Groceries
Biscuits Carton,35,1440,Groceries
Soap Dozen,80,480,Groceries
