item_name,quantity,unit_price,category
Rice 25kg,31,813,Food & Beverages
Wheat Flour 25kg,40,569,Food & Beverages
Cooking Oil 15L,66,1073,Food & Beverages
Vegetables Bulk,79,520,Food & Beverages
Spices Assorted,48,390,Food & Beverages
Pulses 10kg,50,520,Food & Beverages
Milk 10L,93,325,Food & Beverages
Gas Cylinder,40,585,Food & Beverages
Disposable Plates Box,48,228,Food & Beverages
Paneer 1kg,71,228,Food & Beverages
Rice 25kg,44,813,Food & Beverages
Wheat Flour 25kg,48,569,Food & Beverages
Cooking Oil 15L,70,1073,Food & Beverages
Vegetables Bulk,39,520,Food & Beverages
Spices Assorted,21,390,Food & Beverages
Pulses 10kg,33,520,Food & Beverages
Milk 10L,25,325,Food & Beverages
Gas Cylinder,47,585,Food & Beverages
Disposable Plates Box,20,228,Food & Beverages
Paneer 1kg,18,228,Food & Beverages
Rice 25kg,36,813,Food & Beverages
Wheat Flour 25kg,42,569,Food & Beverages
Cooking Oil 15L,57,1073,Food & Beverages
Vegetables Bulk,12,520,Food & Beverages
Spices Assorted,75,390,Food & Beverages
Pulses 10kg,94,520,Food & Beverages
Milk 10L,91,325,Food & Beverages
Gas Cylinder,58,585,Food & Beverages
Disposable Plates Box,33,228,Food & Beverages
Paneer 1kg,12,228,Food & Beverages
Rice 25kg,51,813,Food & Beverages
Wheat Flour 25kg,49,569,Food & Beverages
Cooking Oil 15L,63,1073,Food & Beverages
Vegetables Bulk,69,520,Food & Beverages
Spices Assorted,87,390,Food & Beverages
Pulses 10kg,60,520,Food & Beverages
Milk 10L,15,325,Food & Beverages
Gas Cylinder,22,585,Food & Beverages
Disposable Plates Box,31,228,Food & Beverages
Paneer 1kg,94,228,Food & Beverages
Rice 25kg,42,813,Food & Beverages
Wheat Flour 25kg,31,569,Food & Beverages
Cooking Oil 15L,38,1073,Food & Beverages
Vegetables Bulk,13,520,Food & Beverages
Spices Assorted,58,390,Food & Beverages
Pulses 10kg,55,520,Food & Beverages
Milk 10L,27,325,Food & Beverages
Gas Cylinder,98,585,Food & Beverages
Disposable Plates Box,93,228,Food & Beverages
Paneer 1kg,19,228,Food & Beverages
