item_name,quantity,unit_price,category
Raw Material A,91,500,General
Raw Material B,53,750,General
Component Pack,12,400,General
Spare Parts Box,36,1200,General
Packaging Material,64,300,General
Tool Set,81,1500,General
Consumables Pack,57,600,General
Cleaning Supplies,70,250,General
Safety Equipment,55,800,General
Office Supplies,77,350,General
Raw Material A,62,500,General
Raw Material B,41,750,General
Component Pack,88,400,General
Spare Parts Box,89,1200,General
Packaging Material,99,300,General
Tool Set,70,1500,General
Consumables Pack,28,600,General
Cleaning Supplies,44,250,General
Safety Equipment,71,800,General
Office Supplies,75,350,General
Raw Material A,42,500,General
Raw Material B,36,750,General
Component Pack,49,400,General
Spare Parts Box,28,1200,General
Packaging Material,25,300,General
Tool Set,53,1500,General
Consumables Pack,27,600,General
Cleaning Supplies,32,250,General
Safety Equipment,56,800,General
Office Supplies,34,350,General
Raw Material A,62,500,General
Raw Material B,48,750,General
Component Pack,44,400,General
Spare Parts Box,69,1200,General
Packaging Material,69,300,General
Tool Set,79,1500,General
Consumables Pack,23,600,General
Cleaning Supplies,47,250,General
Safety Equipment,18,800,General
Office Supplies,93,350,General
Raw Material A,64,500,General
Raw Material B,91,750,General
Component Pack,98,400,General
Spare Parts Box,20,1200,General
Packaging Material,82,300,General
Tool Set,61,1500,General
Consumables Pack,76,600,General
Cleaning Supplies,48,250,General
Safety Equipment,82,800,General
Office Supplies,14,350,General
