item_name,quantity,unit_price,category
Shampoo 1L,40,560,Beauty Services
Conditioner 1L,37,640,Beauty Services
Hair Color Kit,98,400,Beauty Services
Wax Strips Pack,84,288,Beauty Services
Facial Kit,92,720,Beauty Services
Razor Blades Box,94,192,Beauty Services
Nail Polish Set,46,480,Beauty Services
Hair Serum 200ml,20,448,Beauty Services
Threading Thread Roll,91,128,Beauty Services
Towels Pack,77,960,Beauty Services
Shampoo 1L,74,560,Beauty Services
Conditioner 1L,36,640,Beauty Services
Hair Color Kit,28,400,Beauty Services
Wax Strips Pack,62,288,Beauty Services
Facial Kit,34,720,Beauty Services
Razor Blades Box,83,192,Beauty Services
Nail Polish Set,46,480,Beauty Services
Hair Serum 200ml,42,448,Beauty Services
Threading Thread Roll,41,128,Beauty Services
Towels Pack,57,960,Beauty Services
Shampoo 1L,58,560,Beauty Services
Conditioner 1L,76,640,Beauty Services
Hair Color Kit,22,400,Beauty Services
Wax Strips Pack,55,288,Beauty Services
Facial Kit,70,720,Beauty Services
Razor Blades Box,84,192,Beauty Services
Nail Polish Set,43,480,Beauty Services
Hair Serum 200ml,99,448,Beauty Services
Threading Thread Roll,20,128,Beauty Services
Towels Pack,38,960,Beauty Services
Shampoo 1L,84,560,Beauty Services
Conditioner 1L,26,640,Beauty Services
Hair Color Kit,55,400,Beauty Services
Wax Strips Pack,81,288,Beauty Services
Facial Kit,13,720,Beauty Services
Razor Blades Box,39,192,Beauty Services
Nail Polish Set,55,480,Beauty Services
Hair Serum 200ml,87,448,Beauty Services
Threading Thread Roll,44,128,Beauty Services
Towels Pack,37,960,Beauty Services
Shampoo 1L,69,560,Beauty Services
Conditioner 1L,53,640,Beauty Services
Hair Color Kit,39,400,Beauty Services
Wax Strips Pack,13,288,Beauty Services
Facial Kit,90,720,Beauty Services
Razor Blades Box,17,192,Beauty Services
Nail Polish Set,55,480,Beauty Services
Hair Serum 200ml,92,448,Beauty Services
Threading Thread Roll,95,128,Beauty Services
Towels Pack,21,960,Beauty Services
