date,category,amount,description
2024-01-01,rent,26531,Monthly shop rent
2024-01-01,electricity,2069,Electricity bill
2024-02-01,rent,26531,Monthly shop rent
2024-02-01,electricity,2069,Electricity bill
2024-01-02,miscellaneous,4077,miscellaneous expense
2024-01-03,supplies,7445,supplies expense
2024-01-04,miscellaneous,3978,miscellaneous expense
2024-01-05,supplies,5533,supplies expense
2024-01-06,transport,7003,transport expense
2024-01-07,supplies,2296,supplies expense
2024-01-08,maintenance,4398,maintenance expense
2024-01-09,maintenance,2106,maintenance expense
2024-01-10,maintenance,2307,maintenance expense
2024-01-11,supplies,3619,supplies expense
2024-01-12,wages,2611,wages expense
2024-01-13,maintenance,1477,maintenance expense
2024-01-14,transport,7286,transport expense
2024-01-15,supplies,5406,supplies expense
2024-01-16,transport,1456,transport expense
2024-01-17,supplies,4160,supplies expense
2024-01-18,maintenance,2891,maintenance expense
2024-01-19,wages,7741,wages expense
2024-01-20,supplies,1611,supplies expense
2024-01-21,wages,7366,wages expense
2024-01-22,maintenance,1288,maintenance expense
2024-01-23,supplies,2584,supplies expense
2024-01-24,transport,6278,transport expense
2024-01-25,transport,4422,transport expense
2024-01-26,wages,7526,wages expense
2024-01-27,transport,4147,transport expense
2024-01-28,maintenance,4435,maintenance expense
2024-01-29,supplies,7387,supplies expense
2024-01-30,wages,7493,wages expense
2024-01-31,wages,4013,wages expense
2024-02-01,supplies,5403,supplies expense
2024-02-02,maintenance,5622,maintenance expense
2024-02-03,transport,1496,transport expense
2024-02-04,miscellaneous,6389,miscellaneous expense
2024-02-05,transport,5109,transport expense
2024-02-06,supplies,7266,supplies expense
2024-02-07,wages,7811,wages expense
2024-02-08,miscellaneous,6187,miscellaneous expense
2024-02-09,wages,5870,wages expense
2024-02-10,maintenance,4155,maintenance expense
2024-02-11,miscellaneous,5034,miscellaneous expense
2024-02-12,miscellaneous,4675,miscellaneous expense
2024-02-13,maintenance,4256,maintenance expense
2024-02-14,transport,4549,transport expense
2024-02-15,supplies,2261,supplies expense
2024-02-16,supplies,2654,supplies expense
