date,category,amount,description
2024-01-01,rent,10529,Monthly shop rent
2024-01-01,electricity,1862,Electricity bill
2024-02-01,rent,10529,Monthly shop rent
2024-02-01,electricity,1862,Electricity bill
2024-01-02,wages,2228,wages expense
2024-01-03,supplies,1533,supplies expense
2024-01-04,wages,1864,wages expense
2024-01-05,supplies,745,supplies expense
2024-01-06,transport,930,transport expense
2024-01-07,wages,2779,wages expense
2024-01-08,wages,779,wages expense
2024-01-09,wages,2664,wages expense
2024-01-10,transport,1113,transport expense
2024-01-11,wages,828,wages expense
2024-01-12,transport,2116,transport expense
2024-01-13,transport,1808,transport expense
2024-01-14,wages,1839,wages expense
2024-01-15,wages,2546,wages expense
2024-01-16,supplies,725,supplies expense
2024-01-17,wages,2397,wages expense
2024-01-18,miscellaneous,2442,miscellaneous expense
2024-01-19,wages,798,wages expense
2024-01-20,wages,2809,wages expense
2024-01-21,supplies,2920,supplies expense
2024-01-22,supplies,1526,supplies expense
2024-01-23,transport,3074,transport expense
2024-01-24,transport,854,transport expense
2024-01-25,miscellaneous,2834,miscellaneous expense
2024-01-26,maintenance,1712,maintenance expense
2024-01-27,transport,1273,transport expense
2024-01-28,transport,2654,transport expense
2024-01-29,miscellaneous,822,miscellaneous expense
2024-01-30,transport,3014,transport expense
2024-01-31,wages,1781,wages expense
2024-02-01,miscellaneous,2269,miscellaneous expense
2024-02-02,supplies,2987,supplies expense
2024-02-03,transport,2371,transport expense
2024-02-04,miscellaneous,995,miscellaneous expense
2024-02-05,supplies,1331,supplies expense
2024-02-06,supplies,2048,supplies expense
2024-02-07,maintenance,2187,maintenance expense
2024-02-08,maintenance,1351,maintenance expense
2024-02-09,wages,2094,wages expense
2024-02-10,supplies,1726,supplies expense
2024-02-11,wages,2599,wages expense
2024-02-12,transport,1230,transport expense
2024-02-13,supplies,1136,supplies expense
2024-02-14,miscellaneous,1053,miscellaneous expense
2024-02-15,supplies,1520,supplies expense
2024-02-16,wages,1955,wages expense
