item_name,quantity,unit_price,category
Paracetamol 500mg Box,39,1200,Medicines
Cough Syrup Carton,39,2400,Medicines
Antacid Tablets Box,45,900,Medicines
Vitamin C Box,75,1500,Medicines
Bandage Rolls Box,48,800,Medicines
Antiseptic Cream Box,20,1100,Medicines
Eye Drops Box,51,1800,Medicines
Multivitamin Bottles,91,3500,Medicines
Diabetes Strips Box,44,4200,Medicines
BP Tablets Box,93,2800,Medicines
Paracetamol 500mg Box,70,1200,Medicines
Cough Syrup Carton,34,2400,Medicines
Antacid Tablets Box,93,900,Medicines
Vitamin C Box,70,1500,Medicines
Bandage Rolls Box,60,800,Medicines
Antiseptic Cream Box,34,1100,Medicines
Eye Drops Box,84,1800,Medicines
Multivitamin Bottles,42,3500,Medicines
Diabetes Strips Box,53,4200,Medicines
BP Tablets Box,51,2800,Medicines
Paracetamol 500mg Box,48,1200,Medicines
Cough Syrup Carton,69,2400,Medicines
Antacid Tablets Box,28,900,Medicines
Vitamin C Box,71,1500,Medicines
Bandage Rolls Box,69,800,Medicines
Antiseptic Cream Box,85,1100,Medicines
Eye Drops Box,97,1800,Medicines
Multivitamin Bottles,81,3500,Medicines
Diabetes Strips Box,65,4200,Medicines
BP Tablets Box,59,2800,Medicines
Paracetamol 500mg Box,71,1200,Medicines
Cough Syrup Carton,86,2400,Medicines
Antacid Tablets Box,24,900,Medicines
Vitamin C Box,68,1500,Medicines
Bandage Rolls Box,62,800,Medicines
Antiseptic Cream Box,57,1100,Medicines
Eye Drops Box,51,1800,Medicines
Multivitamin Bottles,28,3500,Medicines
Diabetes Strips Box,40,4200,Medicines
BP Tablets Box,12,2800,Medicines
Paracetamol 500mg Box,48,1200,Medicines
Cough Syrup Carton,10,2400,Medicines
Antacid Tablets Box,97,900,Medicines
Vitamin C Box,37,1500,Medicines
Bandage Rolls Box,71,800,Medicines
Antiseptic Cream Box,34,1100,Medicines
Eye Drops Box,46,1800,Medicines
Multivitamin Bottles,99,3500,Medicines
Diabetes Strips Box,37,4200,Medicines
BP Tablets Box,40,2800,Medicines
