date,category,amount,description
2024-01-01,rent,11699,Monthly shop rent
2024-01-01,electricity,1211,Electricity bill
2024-02-01,rent,11699,Monthly shop rent
2024-02-01,electricity,1211,Electricity bill
2024-01-02,maintenance,1778,maintenance expense
2024-01-03,products,774,products expense
2024-01-04,equipment,1609,equipment expense
2024-01-05,supplies,999,supplies expense
2024-01-06,maintenance,1912,maintenance expense
2024-01-07,supplies,724,supplies expense
2024-01-08,wages,1775,wages expense
2024-01-09,products,1479,products expense
2024-01-10,equipment,1788,equipment expense
2024-01-11,products,1690,products expense
2024-01-12,supplies,770,supplies expense
2024-01-13,maintenance,346,maintenance expense
2024-01-14,wages,1487,wages expense
2024-01-15,products,1347,products expense
2024-01-16,maintenance,1099,maintenance expense
2024-01-17,maintenance,967,maintenance expense
2024-01-18,equipment,1247,equipment expense
2024-01-19,maintenance,434,maintenance expense
2024-01-20,products,668,products expense
2024-01-21,products,796,products expense
2024-01-22,products,1544,products expense
2024-01-23,products,849,products expense
2024-01-24,equipment,1288,equipment expense
2024-01-25,maintenance,437,maintenance expense
2024-01-26,equipment,1577,equipment expense
2024-01-27,maintenance,1077,maintenance expense
2024-01-28,wages,1366,wages expense
2024-01-29,maintenance,1714,maintenance expense
2024-01-30,supplies,1273,supplies expense
2024-01-31,maintenance,1466,maintenance expense
2024-02-01,maintenance,1214,maintenance expense
2024-02-02,maintenance,1219,maintenance expense
2024-02-03,wages,406,wages expense
2024-02-04,supplies,489,supplies expense
2024-02-05,supplies,1099,supplies expense
2024-02-06,supplies,460,supplies expense
2024-02-07,maintenance,1106,maintenance expense
2024-02-08,wages,958,wages expense
2024-02-09,equipment,1368,equipment expense
2024-02-10,equipment,1112,equipment expense
2024-02-11,products,1658,products expense
2024-02-12,supplies,1923,supplies expense
2024-02-13,equipment,908,equipment expense
2024-02-14,equipment,1318,equipment expense
2024-02-15,maintenance,1587,maintenance expense
2024-02-16,equipment,1028,equipment expense
