item_name,quantity,unit_price,category
Rice 25kg,29,2000,Food & Beverages
Wheat Flour 25kg,93,1400,Food & Beverages
Cooking Oil 15L,83,2640,Food & Beverages
Vegetables Bulk,19,1280,Food & Beverages
Spices Assorted,28,960,Food & Beverages
Pulses 10kg,19,1280,Food & Beverages
Milk 10L,76,800,Food & Beverages
Gas Cylinder,37,1440,Food & Beverages
Disposable Plates Box,26,560,Food & Beverages
Paneer 1kg,72,560,Food & Beverages
Rice 25kg,59,2000,Food & Beverages
Wheat Flour 25kg,85,1400,Food & Beverages
Cooking Oil 15L,42,2640,Food & Beverages
Vegetables Bulk,46,1280,Food & Beverages
Spices Assorted,19,960,Food & Beverages
Pulses 10kg,87,1280,Food & Beverages
Milk 10L,58,800,Food & Beverages
Gas Cylinder,44,1440,Food & Beverages
Disposable Plates Box,41,560,Food & Beverages
Paneer 1kg,28,560,Food & Beverages
Rice 25kg,36,2000,Food & Beverages
Wheat Flour 25kg,43,1400,Food & Beverages
Cooking Oil 15L,70,2640,Food & Beverages
Vegetables Bulk,60,1280,Food & Beverages
Spices Assorted,55,960,Food & Beverages
Pulses 10kg,52,1280,Food & Beverages
Milk 10L,44,800,Food & Beverages
Gas Cylinder,24,1440,Food & Beverages
Disposable Plates Box,86,560,Food & Beverages
Paneer 1kg,19,560,Food & Beverages
Rice 25kg,88,2000,Food & Beverages
Wheat Flour 25kg,32,1400,Food & Beverages
Cooking Oil 15L,35,2640,Food & Beverages
Vegetables Bulk,66,1280,Food & Beverages
Spices Assorted,66,960,Food & Beverages
Pulses 10kg,72,1280,Food & Beverages
Milk 10L,52,800,Food & Beverages
Gas Cylinder,14,1440,Food & Beverages
Disposable Plates Box,84,560,Food & Beverages
Paneer 1kg,32,560,Food & Beverages
Rice 25kg,39,2000,Food & Beverages
Wheat Flour 25kg,30,1400,Food & Beverages
Cooking Oil 15L,19,2640,Food & Beverages
Vegetables Bulk,58,1280,Food & Beverages
Spices Assorted,13,960,Food & Beverages
Pulses 10kg,35,1280,Food & Beverages
Milk 10L,15,800,Food & Beverages
Gas Cylinder,88,1440,Food & Beverages
Disposable Plates Box,61,560,Food & Beverages
Paneer 1kg,52,560,Food & Beverages
