item_name,quantity,unit_price,category
Rice 25kg,72,813,Groceries
Wheat Flour 25kg,81,569,Groceries
Sugar 25kg,94,618,Groceries
Cooking Oil 15L,77,1073,Groceries
Tea Powder 5kg,78,455,Groceries
Pulses 10kg,62,520,Groceries
Detergent 5kg,59,390,Groceries
Salt 10kg,57,130,Groceries
Biscuits Carton,11,585,Groceries
Soap Dozen,66,195,Groceries
Rice 25kg,63,813,Groceries
Wheat Flour 25kg,91,569,Groceries
Sugar 25kg,90,618,Groceries
Cooking Oil 15L,66,1073,Groceries
Tea Powder 5kg,23,455,Groceries
Pulses 10kg,65,520,Groceries
Detergent 5kg,92,390,Groceries
Salt 10kg,65,130,Groceries
Biscuits Carton,56,585,Groceries
Soap Dozen,87,195,Groceries
Rice 25kg,92,813,Groceries
Wheat Flour 25kg,23,569,Groceries
Sugar 25kg,68,618,Groceries
Cooking Oil 15L,97,1073,Groceries
Tea Powder 5kg,91,455,Groceries
Pulses 10kg,77,520,Groceries
Detergent 5kg,72,390,Groceries
Salt 10kg,92,130,Groceries
Biscuits Carton,64,585,Groceries
Soap Dozen,37,195,Groceries
Rice 25kg,77,813,Groceries
Wheat Flour 25kg,75,569,Groceries
Sugar 25kg,64,618,Groceries
Cooking Oil 15L,27,1073,Groceries
Tea Powder 5kg,89,455,Groceries
Pulses 10kg,24,520,Groceries
Detergent 5kg,89,390,Groceries
Salt 10kg,36,130,Groceries
Biscuits Carton,86,585,Groceries
Soap Dozen,78,195,Groceries
Rice 25kg,24,813,Groceries
Wheat Flour 25kg,73,569,Groceries
Sugar 25kg,81,618,Groceries
Cooking Oil 15L,12,1073,Groceries
Tea Powder 5kg,33,455,Groceries
Pulses 10kg,51,520,Groceries
Detergent 5kg,80,390,Groceries
Salt 10kg,25,130,Groceries
Biscuits Carton,25,585,Groceries
Soap Dozen,17,195,Groceries
